,user_id,total_events,Baja_usuario,events_last_month,total_months,rate_events,age,gender,height,seniors_exercise_level,traits_language_code,os_name,device_type
1014022,NZfcR9H22OgH4zseB5FpqZCrmxp2,70,1,35.0,5,14.0,66.0,1,160.0,1.0,1,1,1
1014092,NZkRGVmTvecK4cdxZD17YiPsZGa2,27,1,26.0,1,27.0,59.0,1,154.0,1.0,1,1,1
1014119,Na1pxBiqgHN4gn5qvCENaWZsOYm2,122,1,121.0,1,122.0,61.0,1,165.0,2.0,1,2,2
1014241,NaJPPtZhAeS4MEZiZFvPZvxPNgH2,29,1,28.0,1,29.0,54.0,1,160.0,1.0,2,1,1
1014270,NaKTWfA83ob3Bc0qwZQDWFCNt352,160,1,159.0,1,160.0,60.0,1,153.0,2.0,1,2,2
1014430,NaPGoLjfnvXGLPK1QFj6vBLvXfs1,156,1,155.0,1,156.0,60.0,1,170.0,2.0,1,1,1
1014586,NaR63ejKgQfuhftJUdLGjL569rm2,95,1,94.0,1,95.0,68.0,1,168.0,2.0,1,1,1
1014681,NaVmkft8g6VAKHn4HeodznFM8r43,118,1,117.0,1,118.0,60.0,1,169.0,1.0,2,1,1
1014799,NasBp6QOT2hRw58xB2e5bzVASeI2,123,1,70.0,3,41.0,62.0,1,161.0,1.0,1,2,2
1014922,Nb5xDBMJYVe1c9VFyG7IqRf0XiT2,86,1,85.0,1,86.0,71.0,1,170.0,2.0,2,1,1
1015008,NbzyaAkQC4Va5d4uQE85N1uBrUo2,119,1,118.0,1,119.0,61.0,1,162.0,2.0,2,1,1
1015127,Nc1dXUktSiVxaC9hBGY7GiIjftH2,126,1,125.0,1,126.0,67.0,1,154.0,1.0,1,1,1
1015253,NcRdyZXfl3QiduAgcqyRdC3aNm72,204,0,203.0,1,204.0,78.0,0,174.0,2.0,1,2,2
1015457,NcY1cLyeh4N93ZePF9WEjmiWoN22,31,1,30.0,1,31.0,56.0,1,168.0,1.0,1,1,1
1015488,Ncimpv2gBUV4NR88z495sKTl5Bx1,236,0,235.0,1,236.0,65.0,1,170.0,1.0,2,2,2
1015724,Ncv1r2Ta38P3dOlbCMoaUp7zcjA2,113,1,112.0,1,113.0,62.0,1,157.0,2.0,1,2,2
1015837,Nd93cAypYgbybmniNf9HEsDcvGG3,192,0,191.0,1,192.0,56.0,0,188.0,2.0,2,2,2
1016029,NdBN2yCP9DhozBedPggbk0C9sim2,106,0,105.0,1,106.0,71.0,1,154.0,2.0,2,1,1
1016135,NdLgSt3VoZUfCuzJnJpV7t07Qf12,131,1,130.0,1,131.0,63.0,1,159.0,2.0,1,2,2
1016266,NdejSFOWtAbRcrrtl2N5EX1H0pH3,104,1,103.0,1,104.0,60.0,1,170.0,1.0,1,1,1
1016370,NdmwiB1JmPdKfa86yiA7z9FJTKh1,160,0,159.0,1,160.0,65.0,1,170.0,2.0,1,3,2
1016530,NdyQoxcE6pNLc0596PVfgKroZuy1,137,1,136.0,1,137.0,68.0,1,157.0,1.0,1,1,1
1016667,Ne91IXXma1cnuX8snTafOuBUte23,174,0,173.0,1,174.0,68.0,1,167.0,1.0,1,3,2
1016841,NexUjbeh5PbdpiUhDecX2JIJqQh1,30,1,29.0,1,30.0,63.0,1,170.0,1.0,1,1,1
1016871,Nf541Ta8RyPw5CvoR1MjPV20XGl1,127,0,126.0,1,127.0,72.0,0,181.0,2.0,1,1,1
1016998,Nf5uXS1f21PwORlUQqqlNVFoVQC3,25,1,24.0,1,25.0,60.0,1,157.0,1.0,1,1,1
